responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,experiment,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
5278,"100","29",772,253,"Nu","Cristina","local_coherence"," de ",238.03125,772,262.03125,797.90625,"","","",""
5328,"100","30",811,253,"Nu","Cristina","local_coherence"," sistem ",238.03125,797.90625,262.03125,857.96875,"","","",""
5379,"100","30",845,253,"Nu","Cristina","local_coherence"," sistem ",238.03125,797.90625,262.03125,857.96875,"","","",""
5432,"100","31",865,253,"Nu","Cristina","local_coherence"," vascular, ",238.03125,857.96875,262.03125,934.40625,"","","",""
5478,"100","31",892,253,"Nu","Cristina","local_coherence"," vascular, ",238.03125,857.96875,262.03125,934.40625,"","","",""
5528,"100","31",913,253,"Nu","Cristina","local_coherence"," vascular, ",238.03125,857.96875,262.03125,934.40625,"","","",""
5581,"100","32",938,253,"Nu","Cristina","local_coherence"," așa ",238.03125,934.40625,262.03125,967.90625,"","","",""
5628,"100","33",968,253,"Nu","Cristina","local_coherence"," cum ",238.03125,967.90625,262.03125,1009.1875,"","","",""
5678,"100","33",986,253,"Nu","Cristina","local_coherence"," cum ",238.03125,967.90625,262.03125,1009.1875,"","","",""
5728,"100","33",1004,253,"Nu","Cristina","local_coherence"," cum ",238.03125,967.90625,262.03125,1009.1875,"","","",""
5782,"100","35",1038,253,"Nu","Cristina","local_coherence"," găsește ",238.03125,1032.65625,262.03125,1102.5625,"","","",""
5832,"100","35",1059,253,"Nu","Cristina","local_coherence"," găsește ",238.03125,1032.65625,262.03125,1102.5625,"","","",""
5878,"100","35",1078,253,"Nu","Cristina","local_coherence"," găsește ",238.03125,1032.65625,262.03125,1102.5625,"","","",""
5928,"100","35",1099,253,"Nu","Cristina","local_coherence"," găsește ",238.03125,1032.65625,262.03125,1102.5625,"","","",""
5984,"100","36",1118,253,"Nu","Cristina","local_coherence"," la ",238.03125,1102.5625,262.03125,1122,"","","",""
6028,"100","37",1131,252,"Nu","Cristina","local_coherence"," plantele ",238.03125,1122,262.03125,1195.0625,"","","",""
6078,"100","37",1145,252,"Nu","Cristina","local_coherence"," plantele ",238.03125,1122,262.03125,1195.0625,"","","",""
6142,"100","37",1162,252,"Nu","Cristina","local_coherence"," plantele ",238.03125,1122,262.03125,1195.0625,"","","",""
6184,"100","37",1182,252,"Nu","Cristina","local_coherence"," plantele ",238.03125,1122,262.03125,1195.0625,"","","",""
6232,"100","38",1206,252,"Nu","Cristina","local_coherence"," superioare. ",238.03125,1195.0625,262.03125,1291.15625,"","","",""
6279,"100","38",1224,253,"Nu","Cristina","local_coherence"," superioare. ",238.03125,1195.0625,262.03125,1291.15625,"","","",""
6328,"100","38",1234,256,"Nu","Cristina","local_coherence"," superioare. ",238.03125,1195.0625,262.03125,1291.15625,"","","",""
6384,"100","38",1257,260,"Nu","Cristina","local_coherence"," superioare. ",238.03125,1195.0625,262.03125,1291.15625,"","","",""
6428,"100","38",1260,261,"Nu","Cristina","local_coherence"," superioare. ",238.03125,1195.0625,262.03125,1291.15625,"","","",""
6478,"100","38",1260,261,"Nu","Cristina","local_coherence"," superioare. ",238.03125,1195.0625,262.03125,1291.15625,"","","",""
6528,"100","38",1257,266,"Nu","Cristina","local_coherence"," superioare. ",238.03125,1195.0625,262.03125,1291.15625,"","","",""
8088,"","","","","","","","","","","","","Nu","","",""
939,"NA",-1,559,138,"NA","Cristina","","","","","","","","","",""
989,"NA",-1,571,149,"NA","Cristina","","","","","","","","","",""
1039,"NA",-1,571,149,"NA","Cristina","","","","","","","","","",""
1089,"NA",-1,574,150,"NA","Cristina","","","","","","","","","",""
1139,"NA",-1,580,148,"NA","Cristina","","","","","","","","","",""
1189,"NA",-1,593,143,"NA","Cristina","","","","","","","","","",""
