responseTime,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
,,,,,,,,,,,,
1799,-1,347,230,NA,NA,NA,NA,NA,NA,1740035208062,1740039019278,3811216
5429,4,669,131,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5491,4,675,130,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5553,4,683,130,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5613,4,690,129,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5675,4,697,126,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5737,4,707,123,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5798,4,719,121,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5860,4,733,121,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5920,4,742,121,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
5980,4,751,121,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
6042,5,763,121,au,109.16667175293,761.166687011719,133.966659545898,787.066680908203,NA,null,null,null
6104,5,770,122,au,109.16667175293,761.166687011719,133.966659545898,787.066680908203,NA,null,null,null
6166,5,782,123,au,109.16667175293,761.166687011719,133.966659545898,787.066680908203,NA,null,null,null
6227,6,793,125,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6288,6,795,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6351,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6412,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6475,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6537,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6601,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6663,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6725,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6786,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6849,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6911,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
6973,6,796,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7035,6,798,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7098,6,804,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7159,6,815,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7221,6,821,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7283,6,823,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7345,6,830,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7408,6,841,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7470,6,859,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7531,6,871,127,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7593,6,880,129,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
7656,7,886,129,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
7719,7,886,129,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
7781,7,886,129,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
7843,7,886,129,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
7906,7,886,129,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
7968,7,886,129,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
8031,7,886,129,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
8093,7,894,130,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
8151,8,933,137,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8202,8,936,137,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8268,8,938,137,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8319,8,940,137,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8369,8,940,137,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8435,8,943,134,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8487,8,949,134,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8551,8,954,131,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8617,8,958,130,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
8683,9,972,126,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
8735,9,986,124,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
8801,9,994,122,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
8851,9,999,122,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
8902,9,1006,122,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
8952,9,1014,120,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
9017,9,1023,118,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
9068,9,1030,117,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
9119,9,1030,117,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
9185,9,1026,117,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
9251,9,1008,118,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
9301,9,991,120,prioritate,109.16667175293,958.716674804688,133.966659545898,1042.76667785645,NA,null,null,null
9350,8,941,115,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
9417,8,911,116,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
9468,8,905,119,prima,109.16667175293,903.950012207031,133.966659545898,958.716674804688,NA,null,null,null
9518,7,893,123,că,109.16667175293,880.533325195313,133.966659545898,903.949981689453,NA,null,null,null
9568,6,878,126,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
9618,6,805,130,considerat,109.16667175293,787.066650390625,133.966659545898,880.533325195313,NA,null,null,null
9668,4,724,130,comerțului,109.16667175293,664.516662597656,133.966659545898,761.16667175293,NA,null,null,null
9719,3,638,132,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
9784,3,589,132,domeniul,109.16667175293,579.36669921875,133.966659545898,664.516693115234,NA,null,null,null
9835,1,531,132,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
9885,1,510,140,britanici,109.16667175293,474.366668701172,133.966659545898,547.850006103516,NA,null,null,null
9950,11,479,157,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10001,11,451,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10051,11,451,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10102,11,451,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10164,11,450,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10226,11,450,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10288,11,450,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10352,11,450,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10411,11,454,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10472,11,457,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10535,11,458,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10597,11,459,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10658,11,461,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10721,11,464,168,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10782,11,472,169,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10844,11,475,169,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10906,11,475,169,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
10967,11,476,169,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
11030,11,481,170,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
11091,11,496,169,popularea,149.16667175293,407.466674804688,173.966659545898,498.350021362305,NA,null,null,null
11154,12,503,168,zonelor,149.16667175293,498.350006103516,173.966659545898,566.616668701172,NA,null,null,null
11216,12,503,168,zonelor,149.16667175293,498.350006103516,173.966659545898,566.616668701172,NA,null,null,null
11279,12,503,168,zonelor,149.16667175293,498.350006103516,173.966659545898,566.616668701172,NA,null,null,null
11341,12,503,168,zonelor,149.16667175293,498.350006103516,173.966659545898,566.616668701172,NA,null,null,null
